age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,subscribed
35,admin.,single,high.school,no,yes,yes,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
38,blue-collar,single,basic.9y,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
38,blue-collar,single,university.degree,unknown,yes,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
38,technician,single,university.degree,no,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
30,technician,married,university.degree,no,yes,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
51,admin.,single,basic.6y,no,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
31,services,married,basic.6y,unknown,no,no,5,tue,4,0,nonexistent,1.1,93.994,-36.4,yes
45,technician,married,university.degree,no,yes,yes,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
36,admin.,married,high.school,no,no,no,5,tue,6,0,nonexistent,1.1,93.994,-36.4,yes
31,services,married,basic.9y,no,no,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
45,entrepreneur,married,university.degree,no,yes,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
51,admin.,married,basic.4y,unknown,yes,no,5,wed,3,0,nonexistent,1.1,93.994,-36.4,yes
38,blue-collar,married,basic.6y,unknown,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
41,technician,married,high.school,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
27,admin.,single,high.school,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
37,blue-collar,married,basic.4y,unknown,yes,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
33,unemployed,divorced,basic.9y,no,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
33,blue-collar,married,high.school,no,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
35,student,married,university.degree,no,yes,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
40,blue-collar,married,high.school,no,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
40,blue-collar,married,basic.6y,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
36,technician,married,professional.course,no,no,no,5,wed,3,0,nonexistent,1.1,93.994,-36.4,yes
35,housemaid,married,basic.4y,no,no,no,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
32,services,married,basic.9y,no,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
42,services,divorced,basic.6y,no,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
45,admin.,married,high.school,no,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
38,services,single,high.school,unknown,no,yes,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
39,blue-collar,married,basic.9y,no,no,no,5,thu,23,0,nonexistent,1.1,93.994,-36.4,yes
45,self-employed,married,basic.6y,unknown,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
49,blue-collar,divorced,basic.4y,unknown,no,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
41,blue-collar,married,basic.9y,no,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
30,admin.,married,university.degree,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
53,technician,married,professional.course,unknown,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
35,technician,married,university.degree,unknown,no,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
51,management,married,university.degree,unknown,no,yes,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
33,blue-collar,divorced,basic.9y,unknown,no,no,5,thu,6,0,nonexistent,1.1,93.994,-36.4,yes
44,services,married,high.school,unknown,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
50,blue-collar,married,basic.9y,no,yes,no,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
30,admin.,single,high.school,no,no,yes,5,thu,4,0,nonexistent,1.1,93.994,-36.4,yes
45,entrepreneur,married,university.degree,no,yes,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
35,admin.,single,high.school,no,no,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
29,blue-collar,single,high.school,no,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
44,management,single,university.degree,unknown,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
31,blue-collar,married,basic.6y,unknown,unknown,unknown,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
56,blue-collar,married,basic.4y,unknown,yes,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
45,technician,married,university.degree,no,yes,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
26,blue-collar,single,basic.9y,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
40,entrepreneur,married,university.degree,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
49,admin.,divorced,high.school,no,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
26,admin.,single,high.school,no,no,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
37,blue-collar,single,basic.9y,unknown,no,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
37,admin.,single,high.school,no,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
38,blue-collar,single,university.degree,unknown,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
51,services,married,basic.6y,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
46,admin.,divorced,university.degree,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
35,student,single,high.school,no,no,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
57,services,divorced,high.school,no,yes,yes,5,fri,5,0,nonexistent,1.1,93.994,-36.4,yes
28,blue-collar,married,basic.9y,no,no,yes,5,fri,4,0,nonexistent,1.1,93.994,-36.4,yes
47,management,married,basic.4y,unknown,no,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
57,technician,married,professional.course,no,yes,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
45,blue-collar,married,university.degree,no,yes,yes,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
48,blue-collar,married,basic.9y,no,no,no,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
28,services,married,high.school,no,no,no,5,mon,4,0,nonexistent,1.1,93.994,-36.4,yes
38,services,married,high.school,no,yes,no,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
34,blue-collar,married,basic.6y,no,yes,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
52,services,married,high.school,unknown,yes,no,5,mon,6,0,nonexistent,1.1,93.994,-36.4,yes
52,services,divorced,high.school,no,no,no,5,mon,5,0,nonexistent,1.1,93.994,-36.4,yes
33,technician,divorced,professional.course,no,no,no,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
32,services,single,basic.6y,no,no,yes,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
31,blue-collar,single,high.school,no,no,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
47,blue-collar,married,university.degree,unknown,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
53,blue-collar,married,basic.4y,unknown,no,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
35,services,single,basic.4y,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
58,retired,married,basic.4y,unknown,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
39,blue-collar,single,basic.9y,no,no,no,5,tue,3,0,nonexistent,1.1,93.994,-36.4,yes
27,blue-collar,married,basic.6y,unknown,unknown,unknown,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
42,admin.,married,high.school,no,no,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
55,technician,married,high.school,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
49,housemaid,married,basic.4y,unknown,no,yes,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
42,admin.,single,university.degree,no,yes,yes,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
45,admin.,single,professional.course,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
59,retired,married,professional.course,unknown,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
54,blue-collar,married,basic.9y,unknown,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
55,technician,married,basic.9y,unknown,yes,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
30,admin.,single,university.degree,no,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
35,technician,single,university.degree,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
31,blue-collar,married,basic.6y,no,no,yes,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
36,admin.,single,professional.course,no,yes,yes,5,wed,4,0,nonexistent,1.1,93.994,-36.4,yes
46,housemaid,married,basic.4y,no,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
32,technician,single,university.degree,unknown,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
25,blue-collar,single,basic.4y,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
45,admin.,divorced,university.degree,no,no,no,5,wed,3,0,nonexistent,1.1,93.994,-36.4,yes
56,entrepreneur,married,university.degree,no,no,yes,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
30,admin.,single,high.school,no,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
44,blue-collar,divorced,university.degree,no,yes,yes,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
32,blue-collar,married,basic.9y,no,no,no,5,wed,3,0,nonexistent,1.1,93.994,-36.4,yes
37,services,married,high.school,no,yes,yes,5,wed,3,0,nonexistent,1.1,93.994,-36.4,yes
58,admin.,divorced,university.degree,no,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
35,services,married,high.school,no,no,no,5,fri,5,0,nonexistent,1.1,93.994,-36.4,yes
49,technician,married,professional.course,no,no,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
38,technician,married,basic.6y,unknown,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
22,blue-collar,single,basic.6y,unknown,no,yes,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
47,blue-collar,married,basic.6y,no,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
55,retired,married,high.school,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
50,technician,married,high.school,no,yes,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
32,admin.,single,university.degree,no,no,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
33,services,single,high.school,no,no,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
60,retired,married,high.school,unknown,yes,no,5,fri,6,0,nonexistent,1.1,93.994,-36.4,yes
46,blue-collar,married,basic.4y,no,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
39,technician,single,professional.course,no,no,no,5,fri,5,0,nonexistent,1.1,93.994,-36.4,yes
39,services,married,high.school,no,yes,no,5,fri,6,0,nonexistent,1.1,93.994,-36.4,yes
33,blue-collar,single,basic.9y,unknown,no,yes,5,mon,11,0,nonexistent,1.1,93.994,-36.4,yes
56,blue-collar,married,professional.course,no,yes,no,5,mon,4,0,nonexistent,1.1,93.994,-36.4,yes
58,admin.,single,university.degree,no,no,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
44,management,single,university.degree,unknown,yes,no,5,mon,4,0,nonexistent,1.1,93.994,-36.4,yes
29,student,single,high.school,no,no,yes,5,mon,1,0,nonexistent,1.1,93.994,-36.4,yes
41,services,married,high.school,unknown,yes,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
58,admin.,single,university.degree,no,no,no,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
43,entrepreneur,married,high.school,no,yes,yes,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
41,unemployed,married,basic.9y,unknown,yes,yes,5,mon,4,0,nonexistent,1.1,93.994,-36.4,yes
39,management,married,university.degree,no,no,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
25,blue-collar,married,high.school,unknown,yes,yes,5,mon,6,0,nonexistent,1.1,93.994,-36.4,yes
38,self-employed,single,university.degree,no,no,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
52,blue-collar,married,basic.4y,unknown,yes,no,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
28,entrepreneur,married,basic.9y,no,no,no,5,mon,3,0,nonexistent,1.1,93.994,-36.4,yes
24,admin.,married,basic.9y,no,yes,no,5,mon,2,0,nonexistent,1.1,93.994,-36.4,yes
45,services,divorced,university.degree,no,yes,no,5,tue,5,0,nonexistent,1.1,93.994,-36.4,yes
42,services,married,professional.course,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
29,technician,single,university.degree,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
34,blue-collar,married,basic.9y,no,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
47,admin.,married,high.school,no,no,no,5,tue,3,0,nonexistent,1.1,93.994,-36.4,yes
31,blue-collar,married,basic.9y,no,no,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
39,management,single,university.degree,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
52,management,married,professional.course,no,yes,no,5,tue,1,0,nonexistent,1.1,93.994,-36.4,yes
30,self-employed,married,basic.9y,no,no,no,5,tue,2,0,nonexistent,1.1,93.994,-36.4,yes
45,blue-collar,married,basic.6y,unknown,no,no,5,tue,6,0,nonexistent,1.1,93.994,-36.4,yes
52,admin.,divorced,university.degree,no,yes,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
34,blue-collar,single,basic.9y,unknown,no,no,5,wed,3,0,nonexistent,1.1,93.994,-36.4,yes
57,blue-collar,divorced,basic.9y,no,yes,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
34,blue-collar,married,basic.9y,no,yes,yes,5,wed,4,0,nonexistent,1.1,93.994,-36.4,yes
40,admin.,married,university.degree,no,yes,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
50,services,married,basic.4y,unknown,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
33,blue-collar,married,basic.6y,no,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
25,unemployed,single,high.school,unknown,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
54,technician,married,professional.course,no,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
33,admin.,married,university.degree,no,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
41,management,married,basic.6y,no,yes,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
53,technician,married,professional.course,unknown,no,no,5,wed,2,0,nonexistent,1.1,93.994,-36.4,yes
54,retired,married,basic.4y,unknown,no,no,5,wed,1,0,nonexistent,1.1,93.994,-36.4,yes
30,management,single,university.degree,no,no,yes,5,wed,5,0,nonexistent,1.1,93.994,-36.4,yes
59,retired,married,professional.course,no,no,no,5,wed,9,0,nonexistent,1.1,93.994,-36.4,yes
39,admin.,married,university.degree,no,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
40,technician,married,basic.9y,unknown,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
28,entrepreneur,married,basic.9y,unknown,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
38,technician,divorced,professional.course,no,yes,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
34,services,married,high.school,no,no,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
37,unemployed,married,professional.course,unknown,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
31,admin.,divorced,high.school,no,no,no,5,thu,1,0,nonexistent,1.1,93.994,-36.4,yes
31,blue-collar,married,basic.9y,no,no,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
40,admin.,single,high.school,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
37,admin.,married,university.degree,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
36,admin.,single,university.degree,no,no,no,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
37,admin.,single,university.degree,no,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
42,admin.,single,university.degree,unknown,yes,no,5,thu,2,0,nonexistent,1.1,93.994,-36.4,yes
30,technician,single,university.degree,unknown,yes,no,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
58,retired,married,basic.9y,unknown,yes,no,5,thu,3,0,nonexistent,1.1,93.994,-36.4,yes
34,housemaid,divorced,high.school,no,no,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
40,services,married,high.school,no,no,yes,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
48,blue-collar,married,basic.6y,no,yes,no,5,fri,5,0,nonexistent,1.1,93.994,-36.4,yes
30,admin.,married,university.degree,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
43,blue-collar,divorced,basic.4y,unknown,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
25,blue-collar,married,basic.9y,unknown,yes,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
27,admin.,single,high.school,unknown,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
47,blue-collar,married,basic.6y,unknown,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
52,services,married,high.school,unknown,unknown,unknown,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
50,technician,married,professional.course,no,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
31,services,married,high.school,no,no,no,5,fri,1,0,nonexistent,1.1,93.994,-36.4,yes
41,entrepreneur,married,university.degree,no,yes,no,5,fri,10,0,nonexistent,1.1,93.994,-36.4,yes
56,blue-collar,married,basic.4y,unknown,no,no,5,fri,15,0,nonexistent,1.1,93.994,-36.4,yes
43,blue-collar,married,basic.9y,unknown,no,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
37,blue-collar,married,high.school,no,no,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
29,technician,married,professional.course,no,no,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
49,blue-collar,married,basic.6y,no,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
48,technician,single,university.degree,no,yes,no,5,fri,3,0,nonexistent,1.1,93.994,-36.4,yes
42,services,married,high.school,no,no,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
32,admin.,single,high.school,no,yes,no,5,fri,4,0,nonexistent,1.1,93.994,-36.4,yes
43,blue-collar,married,basic.4y,unknown,no,no,5,fri,12,0,nonexistent,1.1,93.994,-36.4,yes
40,admin.,divorced,professional.course,no,yes,no,5,fri,12,0,nonexistent,1.1,93.994,-36.4,yes
37,unemployed,married,professional.course,no,yes,no,5,fri,2,0,nonexistent,1.1,93.994,-36.4,yes
31,services,single,basic.9y,no,no,no,5,fri,5,0,nonexistent,1.1,93.994,-36.4,yes
46,admin.,married,university.degree,no,yes,no,6,mon,5,0,nonexistent,1.4,94.465,-41.8,yes
38,unemployed,married,basic.6y,no,no,no,6,mon,4,0,nonexistent,1.4,94.465,-41.8,yes
60,management,married,university.degree,no,no,no,6,mon,2,0,nonexistent,1.4,94.465,-41.8,yes
30,services,divorced,basic.9y,no,no,no,6,mon,1,0,nonexistent,1.4,94.465,-41.8,yes
28,services,married,high.school,no,no,no,6,mon,2,0,nonexistent,1.4,94.465,-41.8,yes
42,blue-collar,married,basic.6y,no,yes,no,6,mon,1,0,nonexistent,1.4,94.465,-41.8,yes
39,services,single,high.school,unknown,yes,yes,6,mon,1,0,nonexistent,1.4,94.465,-41.8,yes
45,admin.,married,university.degree,no,yes,no,6,mon,1,0,nonexistent,1.4,94.465,-41.8,yes
26,blue-collar,married,basic.9y,no,no,no,6,mon,3,0,nonexistent,1.4,94.465,-41.8,yes
33,services,single,university.degree,unknown,no,no,6,mon,2,0,nonexistent,1.4,94.465,-41.8,yes
55,technician,married,professional.course,no,yes,no,6,mon,5,0,nonexistent,1.4,94.465,-41.8,yes
52,blue-collar,married,high.school,unknown,no,no,6,mon,4,0,nonexistent,1.4,94.465,-41.8,yes
35,student,single,university.degree,unknown,yes,yes,6,mon,2,0,nonexistent,1.4,94.465,-41.8,yes
59,retired,divorced,university.degree,no,no,no,6,mon,6,0,nonexistent,1.4,94.465,-41.8,yes
39,technician,single,professional.course,unknown,no,no,6,mon,4,0,nonexistent,1.4,94.465,-41.8,yes
26,technician,single,university.degree,no,no,no,6,tue,3,0,nonexistent,1.4,94.465,-41.8,yes
34,blue-collar,married,basic.9y,no,no,no,6,tue,2,0,nonexistent,1.4,94.465,-41.8,yes
32,blue-collar,single,high.school,no,no,no,6,tue,3,0,nonexistent,1.4,94.465,-41.8,yes
56,management,married,basic.9y,no,yes,no,6,tue,3,0,nonexistent,1.4,94.465,-41.8,yes
48,management,married,university.degree,no,yes,yes,6,tue,7,0,nonexistent,1.4,94.465,-41.8,yes
38,admin.,single,university.degree,unknown,yes,no,6,tue,1,0,nonexistent,1.4,94.465,-41.8,yes
41,blue-collar,married,basic.6y,no,yes,no,6,tue,2,0,nonexistent,1.4,94.465,-41.8,yes
38,blue-collar,married,basic.6y,unknown,no,no,6,tue,3,0,nonexistent,1.4,94.465,-41.8,yes
24,admin.,single,high.school,no,no,no,6,tue,1,0,nonexistent,1.4,94.465,-41.8,yes
31,unemployed,divorced,basic.4y,no,yes,no,6,tue,1,0,nonexistent,1.4,94.465,-41.8,yes
30,blue-collar,married,basic.6y,unknown,yes,no,6,tue,2,0,nonexistent,1.4,94.465,-41.8,yes
40,blue-collar,married,basic.9y,no,no,yes,6,tue,2,0,nonexistent,1.4,94.465,-41.8,yes
